,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition
96,-2.9067000000000007,0.0172327372631882,2.0004999944898123,37.563092993325576,0.0300741155842418,0.0221328294331671,62.9067,4.417508031306566,0,R,LL
97,0.0,0.0370465912547233,7.763522011299293,77.15352603749677,0.0161645614633636,0.0461666363693291,0.0,5.531524201496669,0,R,LL
98,,,,,,,17.9981,7.429919056560193,0,R,LL
99,0.0,0.0381548651369522,6.871862554811097,55.12513640575661,0.0156454589212108,0.0395519854445894,0.0,8.582268398925478,0,R,LL
100,-8.033499999999997,0.0206663184650216,2.721160951297522,38.30380011589034,0.0279552674049439,0.0279848767883414,44.0335,12.390606104297408,0,R,LL
101,-2.9093000000000018,0.042895982238928,6.86027718144062,65.40496012431238,0.0224368250833366,0.0566250480475182,50.9093,13.684786670780095,0,R,LL
102,0.0,0.0376387057252615,6.065085365860078,27.613337801270948,0.0165309331870988,0.0368841523006909,0.0,15.122378593554444,0,R,LL
103,0.0,0.0339452242550482,5.445718709580811,32.86275737211884,0.0325351231090615,0.0651798230700642,0.0,18.318367942604585,0,R,LL
104,-2.9117999999999995,0.011878635916121,1.420949459770089,20.682279676786287,0.0439967340520075,0.0229987688650695,44.9118,20.29809828239652,1,R,LL
105,9.999999999976694e-05,0.0092300523746531,1.152373581009463,24.794620710405116,0.0584463914016407,0.0247774445796778,29.9999,21.63433080171045,1,R,LL
106,0.0029000000000003,0.0137535193118181,10.006936401437969,216.9836203797467,0.0061407513062229,0.0226062313094502,23.9971,24.70632343781878,1,R,LL
107,-2.9067000000000007,0.0059280109906258,0.5585458483802271,6.620706600006173,0.1059541300402239,0.0217711934182535,62.9067,25.78753447757929,1,R,LL
108,-2.9125999999999976,0.0337237053568556,5.791846849276949,63.1881057672861,0.0199532844337466,0.0425144907236624,92.9126,27.277342513049312,1,R,LL
109,-2.9117999999999995,0.0554925958621795,7.227425156029243,50.461817512786574,0.0262252706866582,0.0697283037763152,44.9118,28.42700071756055,1,R,LL
110,9.999999999976694e-05,0.0884167175668984,9.640624616517464,35.97276915198858,0.0472945591659553,0.1677342969184038,29.9999,29.80016980037591,1,R,LL
111,-2.9093000000000018,0.0323570792906424,2.7767904085953625,23.062507293093407,0.0572486499530225,0.0584808758349765,68.9093,31.06931126189664,1,R,LL
112,-2.910800000000002,0.0725508093520167,18.68210673293377,97.31131750827782,0.015819156376477,0.1087213123952821,56.9108,32.08978358780492,1,R,LL
113,,,,,,,164.5285,55.34013774989637,2,R,LL
114,0.0,0.0428027415107325,6.602834478557486,-0.1161527064006062,0.4908706077834149,1.192347805753517,0.0,0.4028225415738297,0,L,LL
115,0.0,0.0457036396650755,6.775175850898656,-1.3750809231207826,0.0747247542422889,0.186247557227608,0.0,0.8891058849036219,0,L,LL
116,0.0,0.1052036762827946,15.686641489729675,0.3107042461541339,0.0728364664353797,0.4203241637377354,0.0,1.3915986730110737,0,L,LL
117,0.0,0.0417221862580345,6.191744721973565,16.077089200575216,0.0238955350019922,0.0544296221158177,0.0,4.329495256150502,0,L,LL
118,0.0,0.0512850005139723,8.771229747031125,51.57809747185196,0.0273424802312733,0.0882274874706828,0.0,6.129859759949755,0,L,LL
119,0.0,0.1193487623918086,25.860422540370823,78.83301505575098,0.0136438560108997,0.1298010669194897,0.0,7.911364758170941,0,L,LL
120,0.0,0.0801807374912493,14.213866710877106,42.75742284994884,0.0187878262566017,0.0982413432641897,0.0,9.80274114011218,0,L,LL
121,0.0015,0.0246493729546819,4.580223054007074,58.9710672804873,0.0158288870355594,0.0266711981666163,5.9985,14.15428018888811,1,L,LL
122,-2.9069000000000003,0.038266218525387,4.183371402291051,34.06118322830928,0.0330757773761404,0.0509028386001941,62.9069,15.18868187479162,1,L,LL
123,-2.9087999999999994,0.0301590385085471,5.949236749128675,72.88046504996633,0.0164891479501471,0.0360881803791645,80.9088,15.875777534070586,1,L,LL
124,-8.157300000000006,0.0240434410938713,2.223913271726216,29.01300103481405,0.0380621295202676,0.0311398450683351,92.1573,19.727589752172214,1,L,LL
125,-2.912700000000001,0.0486747646532794,9.335453804134232,67.7849429339241,0.021411888579232,0.0735353099145001,92.9127,21.623200224783076,1,L,LL
126,-2.9129000000000005,0.0398172421330088,5.419534390069214,52.00047716336464,0.0237588668446817,0.0473688911082562,44.9129,23.959938977314952,1,L,LL
127,-2.9069000000000003,0.0090375690906663,1.0035545479738597,26.97345286577736,0.032811444443094,0.0121135615710329,62.9069,26.288720741904548,1,L,LL
128,-2.9110999999999976,0.0675393408918754,8.19577996707104,48.73135709211884,0.0251239591232441,0.0757502179207531,56.9111,27.525567566414438,1,L,LL
129,0.0010000000000012,0.0502308458328173,8.193704311534598,68.31494182926542,0.0202322420448461,0.0609859533839595,29.999,30.074403816535305,1,L,LL
130,-2.9069000000000003,0.0563366035016999,10.261614375527774,69.70748109365772,0.0167835350952481,0.0633584653373509,62.9069,30.996854582050737,1,L,LL
131,-2.9129000000000005,0.0708432099784604,10.115811636584482,60.95012522953567,0.0227069899984791,0.0845017728675454,44.9129,32.75915038455775,1,L,LL
132,-2.9110999999999976,0.062513404139524,13.780044799148463,89.54500856558536,0.0164659598655832,0.0834724575771249,56.9111,35.40999478224626,1,L,LL
133,-2.9084000000000003,0.0661189171141414,11.405137372278608,70.93259153924554,0.0197543798599551,0.0828837590157761,68.9084,36.80502844051958,1,L,LL
134,-2.9087999999999994,0.0423636716571554,4.8717124759802655,47.5595182348656,0.03257679955404,0.0583842334350198,80.9088,37.93119498450852,1,L,LL
135,-2.9087999999999994,0.0581696953821666,5.167986242962613,23.681574159185477,0.0412173450949324,0.0783622471341781,80.9088,38.43394790593216,1,L,LL
136,-2.906099999999995,0.060721056371356,4.366738398588479,29.10009762446189,0.0551002524200476,0.0885148793239505,116.9061,42.7844798268996,2,L,LL
137,-2.904899999999998,0.0229088585873072,1.3960061960613972,22.56458171664934,0.0618162898196997,0.0317464961514854,134.9049,44.27981439815781,2,L,LL
138,-2.904899999999998,0.0692627237921155,2.012304566151631,9.640770132273977,0.1266684299894838,0.0937707994022066,134.9049,47.11321985342734,2,L,LL
139,,,,,,,150.7564,48.98670375149936,2,L,LL
140,,,,,,,163.9757,51.4934213533038,2,L,LL
141,0.0,0.0941440688523224,14.125989594442355,7.902422610353211,0.0337686480785749,0.1754842218280025,0.0,3.96949004878528,0,R,LL
142,0.0,0.0163335539873626,2.118510622390136,0.78370677669938,0.4097603044246651,0.3193493582854769,0.0,6.941392464849811,0,R,LL
143,0.0,0.0263421224853366,4.519606456910736,47.0926035525457,0.0261820544592135,0.0435321242816574,0.0,8.013349028178684,0,R,LL
