,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition,genotype
4028,-43.0539,0.1324876210849589,6.5703127263195285,16.52075091713999,0.072201997364031,0.1745182185231716,91.0539,21.901307591071262,2,L,HH,quad
4029,-31.055800000000005,0.1518305338122673,9.200031933100943,20.85327021073077,0.0661504976635094,0.2238865317507586,67.0558,22.930179097382908,2,L,HH,quad
4030,-31.055800000000005,0.1967622433929695,15.881415178795748,33.875475970911765,0.0474362508524997,0.2771437407360802,67.0558,24.35732344484745,2,L,HH,quad
4031,-43.0539,0.1773114682545948,7.846957423853004,12.518235950615788,0.0880418349032129,0.2541533857050601,91.0539,25.662647934012064,2,L,HH,quad
4032,-37.0539,0.2074026959811673,11.896408585112804,22.69227162421789,0.0681451632459677,0.2982335005096984,79.0539,27.034087934012064,2,L,HH,quad
4033,-43.0539,0.158573180225607,8.742067674406044,22.5309893397689,0.0679591120082802,0.2185583371264028,91.0539,29.288577389996387,2,L,HH,quad
4034,-43.0539,0.1969807055182504,10.275360099267644,21.717059202642957,0.075943531172298,0.2870736661060957,91.0539,29.999773985038853,2,L,HH,quad
4035,,,,,,,151.0543,31.851708559085807,2,L,HH,quad
4036,-43.0539,0.1557687566507741,7.763285060178839,22.533997186179786,0.0947080339560955,0.2704816908212446,91.0539,33.74282110747157,2,L,HH,quad
4037,-43.0539,0.1929851741181636,10.369297880054605,23.95310697575573,0.0798322638300822,0.3045322657226099,91.0539,34.680152029291605,2,L,HH,quad
4038,-43.0539,0.2199472043459284,11.4895065406805,23.370230309075044,0.0841733081556303,0.3557798034330645,91.0539,36.68123071054476,2,L,HH,quad
4039,-55.0483,0.1067437567696689,3.656305136340895,16.360277862099053,0.1480701134646392,0.1991660727490664,115.0483,38.15537785843435,2,L,HH,quad
4040,-50.3642,0.122328917647747,5.15464228846002,20.902538774504144,0.1257841491828499,0.2385228374069789,104.3642,39.57621697117379,2,L,HH,quad
4041,-50.3642,0.1487556366776169,6.423206791219485,20.297433020619035,0.1127986377530777,0.2665393148239529,104.3642,40.46064394117333,2,L,HH,quad
4042,-55.0483,0.1929673707922809,6.717415293843912,14.7550450675207,0.1289784013445253,0.3187312944141642,115.0483,41.71369547787207,2,L,HH,quad
4043,-55.0483,0.1911534560558973,6.548522246685582,15.547440163795924,0.140984989145406,0.3396422431999223,115.0483,43.83294633231332,2,L,HH,quad
4044,-50.3642,0.2105775334866714,9.236570860594291,21.490734277406855,0.1157095496997811,0.3931746310702998,104.3642,45.264773212555845,2,L,HH,quad
4045,-61.05,0.1318541090094201,3.641723452562258,12.464993398903934,0.169683281677844,0.227327269720312,127.05,47.05089668296358,2,L,HH,quad
4046,-61.05,0.1382662869894028,3.8747330925069856,12.752622028637004,0.1653317353303129,0.235669583418113,127.05,48.11586961032902,2,L,HH,quad
4047,-61.05,0.216884421975137,5.9752395685328334,11.44134452183762,0.158291724898668,0.3479517716240679,127.05,49.1065245704438,2,L,HH,quad
4048,,,,,,,139.0573,51.814870785143725,2,L,HH,quad
4049,-61.05,0.1524359959507277,4.156125849890625,13.048692199515283,0.1870502448177414,0.28599108068058,127.05,52.61738792140936,2,L,HH,quad
4050,-61.05,0.1455875222271521,4.172999862152163,13.660194851584745,0.1670582207670109,0.2564612414112033,127.05,55.390724253957615,2,L,HH,quad
